zip,lat,lng,city,state_id,state_name,,county_name,timezone
601,18.18027,-66.75266,Adjuntas,PR,Puerto Rico,,Adjuntas,America/Puerto_Rico
602,18.36075,-67.17541,Aguada,PR,Puerto Rico,,Aguada,America/Puerto_Rico
603,18.45744,-67.12225,Aguadilla,PR,Puerto Rico,,Aguadilla,America/Puerto_Rico
606,18.16585,-66.93716,Maricao,PR,Puerto Rico,,Maricao,America/Puerto_Rico
610,18.2911,-67.12243,Anasco,PR,Puerto Rico,,Añasco,America/Puerto_Rico
611,18.27698,-66.80688,Angeles,PR,Puerto Rico,,Utuado,America/Puerto_Rico
612,18.41283,-66.7051,Arecibo,PR,Puerto Rico,,Arecibo,America/Puerto_Rico
616,18.41878,-66.6679,Bajadero,PR,Puerto Rico,,Arecibo,America/Puerto_Rico
617,18.44598,-66.56006,Barceloneta,PR,Puerto Rico,,Barceloneta,America/Puerto_Rico
622,17.98892,-67.1566,Boqueron,PR,Puerto Rico,,Cabo Rojo,America/Puerto_Rico
623,18.08429,-67.15336,Cabo Rojo,PR,Puerto Rico,,Cabo Rojo,America/Puerto_Rico
624,18.05905,-66.71932,Penuelas,PR,Puerto Rico,,Peñuelas,America/Puerto_Rico
627,18.41905,-66.86037,Camuy,PR,Puerto Rico,,Camuy,America/Puerto_Rico
631,18.1852,-66.83169,Castaner,PR,Puerto Rico,,Lares,America/Puerto_Rico
636,18.16354,-67.08014,Rosario,PR,Puerto Rico,,San Germán,America/Puerto_Rico
637,18.081,-66.94659,Sabana Grande,PR,Puerto Rico,,Sabana Grande,America/Puerto_Rico
638,18.28462,-66.5137,Ciales,PR,Puerto Rico,,Ciales,America/Puerto_Rico
641,18.26742,-66.70212,Utuado,PR,Puerto Rico,,Utuado,America/Puerto_Rico
646,18.43251,-66.28429,Dorado,PR,Puerto Rico,,Dorado,America/Puerto_Rico
647,17.96667,-66.94266,Ensenada,PR,Puerto Rico,,Guánica,America/Puerto_Rico
650,18.34487,-66.58347,Florida,PR,Puerto Rico,,Florida,America/Puerto_Rico
652,18.45614,-66.60194,Garrochales,PR,Puerto Rico,,Arecibo,America/Puerto_Rico
653,17.99413,-66.90266,Guanica,PR,Puerto Rico,,Guánica,America/Puerto_Rico
656,18.04186,-66.79123,Guayanilla,PR,Puerto Rico,,Guayanilla,America/Puerto_Rico
659,18.41036,-66.79691,Hatillo,PR,Puerto Rico,,Hatillo,America/Puerto_Rico
660,18.13412,-67.11399,Hormigueros,PR,Puerto Rico,,Hormigueros,America/Puerto_Rico
662,18.46622,-67.01508,Isabela,PR,Puerto Rico,,Isabela,America/Puerto_Rico
664,18.21064,-66.59066,Jayuya,PR,Puerto Rico,,Jayuya,America/Puerto_Rico
667,18.01246,-67.0417,Lajas,PR,Puerto Rico,,Lajas,America/Puerto_Rico
669,18.27019,-66.86727,Lares,PR,Puerto Rico,,Lares,America/Puerto_Rico
670,18.23782,-66.98852,Las Marias,PR,Puerto Rico,,Las Marías,America/Puerto_Rico
674,18.42229,-66.4891,Manati,PR,Puerto Rico,,Manatí,America/Puerto_Rico
676,18.37897,-67.08098,Moca,PR,Puerto Rico,,Moca,America/Puerto_Rico
677,18.33535,-67.23155,Rincon,PR,Puerto Rico,,Rincón,America/Puerto_Rico
678,18.42949,-66.93016,Quebradillas,PR,Puerto Rico,,Quebradillas,America/Puerto_Rico
